Order_Date,Time,Aging,Customer_Id,Gender,Device_Type,Customer_Login_type,Product_Category,Product,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Payment_method
8/17/2018,15:59:46,1,14567,Female,Web,Member,Auto & Accessories,Car Seat Covers,114,4,0.1,29.4,2.9,High,credit_card
8/21/2018,18:15:12,4,38178,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,127.9,12.8,High,credit_card
7/30/2018,21:37:10,6,24153,Female,Web,Member,Auto & Accessories,Car Media Players,140,5,0.3,32,3.2,Medium,credit_card
10/1/2018,12:23:13,3,27385,Female,Web,Member,Auto & Accessories,Car Speakers,211,4,0.1,122.6,12.3,Critical,credit_card
12/26/2018,17:12:18,2,44937,Female,Web,Member,Auto & Accessories,Car Body Covers,117,1,0.3,32.3,3.2,High,credit_card
5/19/2018,18:53:40,6,38490,Female,Web,Member,Auto & Accessories,Car & Bike Care,118,5,0.3,14.4,1.4,Critical,money_order
4/24/2018,21:27:48,4,30549,Female,Web,Member,Auto & Accessories,Tyre,250,5,0.3,132.5,13.3,Critical,credit_card
11/4/2018,17:10:39,8,50606,Female,Web,Member,Auto & Accessories,Bike Tyres,72,5,0.2,14.4,1.4,Critical,credit_card
11/4/2018,23:25:30,1,42084,Female,Web,Member,Auto & Accessories,Car Mat,54,5,0.1,10.8,1.1,High,money_order
5/18/2018,13:55:47,5,52161,Female,Web,Member,Auto & Accessories,Car Seat Covers,114,4,0.3,15.8,1.6,Critical,credit_card
5/14/2018,20:28:25,7,32218,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,4,0.3,114,11.4,High,money_order
5/17/2018,16:59:11,8,36491,Female,Web,Member,Auto & Accessories,Car Media Players,140,1,0.3,46,4.6,Critical,credit_card
7/29/2018,11:24:17,6,12227,Female,Web,Member,Auto & Accessories,Car Speakers,211,1,0.1,128.9,12.9,Critical,credit_card
11/9/2018,20:19:05,1,13196,Female,Web,Member,Auto & Accessories,Car Body Covers,117,4,0.3,13.6,1.4,Critical,credit_card
8/1/2018,14:02:19,6,50444,Female,Web,Guest,Auto & Accessories,Car & Bike Care,118,5,0.3,14.4,1.4,Critical,credit_card
10/26/2018,13:42:52,5,24528,Male,Web,Member,Auto & Accessories,Tyre,250,1,0.1,165,16.5,Medium,credit_card
7/26/2018,14:39:59,3,57748,Male,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.1,36,3.6,Critical,credit_card
3/15/2018,0:06:10,6,46349,Male,Web,Member,Auto & Accessories,Car Mat,54,5,0.3,10.8,1.1,High,credit_card
11/30/2018,8:15:24,4,54853,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,4,0.3,11.2,1.1,High,credit_card
10/11/2018,10:25:52,2,28082,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,132.5,13.3,High,money_order
10/11/2018,8:18:19,6,20444,Male,Web,Member,Auto & Accessories,Car Media Players,140,1,0.3,51.6,5.2,High,money_order
12/9/2018,14:50:15,5,51472,Male,Web,Member,Auto & Accessories,Car Speakers,211,1,0.1,128.9,12.9,Critical,credit_card
12/13/2018,18:14:36,8,45606,Male,Web,Member,Auto & Accessories,Car Body Covers,117,4,0.2,27.6,2.8,High,credit_card
10/13/2018,21:11:26,5,47238,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,1,0.3,20.3,2,Critical,credit_card
4/30/2018,22:02:15,6,18609,Male,Web,Member,Auto & Accessories,Tyre,250,1,0.3,160,16,Medium,credit_card
11/5/2018,13:09:48,3,39387,Male,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.3,36,3.6,High,credit_card
4/15/2018,11:31:41,9,47027,Male,Web,Member,Auto & Accessories,Car Mat,54,5,0.1,10.8,1.1,High,credit_card
8/19/2018,20:31:09,9,31526,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,1,0.1,30.6,3.1,High,credit_card
9/22/2018,8:48:13,8,25308,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,5,0.2,127.9,12.8,Medium,money_order
6/7/2018,21:44:54,2,47320,Male,Web,Member,Auto & Accessories,Car Media Players,140,1,0.3,53,5.3,Critical,credit_card
8/10/2018,13:26:59,4,52527,Male,Web,Member,Auto & Accessories,Car Speakers,211,1,0.3,109.9,11,Medium,money_order
10/18/2018,16:02:23,2,17333,Male,Web,Member,Auto & Accessories,Car Body Covers,117,1,0.2,34.7,3.5,High,credit_card
10/13/2018,13:47:39,3,26223,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,1,0.1,36.8,3.7,High,credit_card
7/15/2018,8:33:19,1,22734,Male,Web,Member,Auto & Accessories,Tyre,250,1,0.1,167.5,16.8,High,money_order
2/13/2018,14:27:11,2,54066,Male,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.2,72,7.2,High,e_wallet
9/13/2018,8:44:17,4,55093,Male,Web,Member,Auto & Accessories,Car Mat,54,1,0.3,54,5.4,Critical,credit_card
8/15/2018,10:33:30,2,49436,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,4,0.3,20.3,2,Medium,e_wallet
8/20/2018,11:45:39,3,41257,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,116.4,11.6,Medium,credit_card
9/20/2018,17:15:46,6,55433,Male,Web,Member,Auto & Accessories,Car Media Players,140,4,0.3,32,3.2,High,money_order
2/15/2018,9:19:48,1,13366,Male,Web,Member,Auto & Accessories,Car Speakers,211,5,0.1,120.5,12,Critical,credit_card
7/28/2018,16:52:55,4,41451,Male,Web,Member,Auto & Accessories,Car Body Covers,117,4,0.1,32.3,3.2,High,credit_card
11/9/2018,18:32:47,2,42588,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,1,0.1,36.8,3.7,High,e_wallet
11/26/2018,22:04:34,9,26754,Male,Web,Member,Auto & Accessories,Tyre,250,4,0.3,140,14,Critical,credit_card
7/30/2018,3:06:35,10,34365,Male,Web,Member,Auto & Accessories,Bike Tyres,72,4,0.3,18,1.8,Critical,credit_card
3/22/2018,0:17:37,4,49745,Male,Web,Member,Auto & Accessories,Car Mat,54,5,0.3,10.8,1.1,High,credit_card
9/6/2018,22:39:29,8,53213,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,1,0.3,28.3,2.8,Critical,credit_card
5/9/2018,20:48:59,8,43735,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,144.1,14.4,High,credit_card
9/20/2018,20:42:44,8,14760,Male,Web,Member,Auto & Accessories,Car Media Players,140,1,0.1,58.6,5.9,High,credit_card
1/16/2018,14:56:50,10,44410,Male,Web,Member,Auto & Accessories,Car Speakers,211,5,0.3,99.4,9.9,High,credit_card
3/8/2018,9:42:43,1,53552,Male,Web,Member,Auto & Accessories,Car Body Covers,117,1,0.2,30,3,Critical,credit_card
11/26/2018,16:53:30,1,39696,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,1,0.3,28.6,2.9,High,credit_card
8/27/2018,12:55:42,3,22235,Male,Web,Member,Auto & Accessories,Tyre,250,4,0.3,120,12,Critical,debit_card
5/11/2018,13:10:51,7,42599,Male,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.2,36,3.6,High,credit_card
6/22/2018,19:22:22,7,27079,Female,Web,Member,Auto & Accessories,Car Mat,54,1,0.3,27,2.7,Critical,credit_card
5/1/2018,8:12:37,1,57745,Male,Web,Guest,Auto & Accessories,Car Seat Covers,114,1,0.3,24.9,2.5,High,credit_card
2/19/2018,22:17:15,4,20917,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,5,0.3,104.8,10.5,Critical,credit_card
9/11/2018,22:32:31,2,54446,Male,Web,Member,Auto & Accessories,Car Media Players,140,1,0.3,54.4,5.4,High,credit_card
3/20/2018,23:45:07,5,55746,Male,Web,Member,Auto & Accessories,Car Speakers,211,1,0.1,124.7,12.5,Critical,credit_card
9/22/2018,23:23:18,10,58534,Male,Web,Member,Auto & Accessories,Car Body Covers,117,1,0.2,32.3,3.2,Critical,credit_card
11/3/2018,8:59:39,2,53957,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,4,0.3,19.1,1.9,Critical,credit_card
5/14/2018,8:35:33,8,53395,Male,Web,Member,Auto & Accessories,Tyre,250,4,0.3,140,14,High,credit_card
4/22/2018,11:32:22,5,52267,Male,Web,Member,Auto & Accessories,Bike Tyres,72,,0.1,36,3.6,Critical,credit_card
12/30/2018,7:50:33,7,29085,Male,Web,Member,Auto & Accessories,Car Mat,54,5,0.2,10.8,1.1,High,credit_card
10/5/2018,9:10:34,8,56399,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,1,0.3,20.3,2,High,credit_card
11/26/2018,11:04:26,5,27009,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.2,141.8,14.2,Critical,credit_card
5/17/2018,8:36:11,2,35336,Male,Web,Member,Auto & Accessories,Car Media Players,140,1,0.1,58.6,5.9,Critical,credit_card
7/30/2018,22:41:44,6,26503,Male,Web,Member,Auto & Accessories,Car Speakers,211,5,0.3,99.4,9.9,Critical,money_order
12/1/2018,22:14:26,2,50579,Male,Web,Member,Auto & Accessories,Car Body Covers,117,1,0.3,26.5,2.6,High,credit_card
8/6/2018,21:09:10,4,54326,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,5,0.3,14.4,1.4,Critical,e_wallet
6/28/2018,23:45:53,10,23420,Male,Web,Member,Auto & Accessories,Tyre,250,1,0.3,132.5,13.3,High,credit_card
6/27/2018,22:04:34,6,32534,Male,Web,Member,Auto & Accessories,Bike Tyres,72,4,0.3,18,1.8,High,credit_card
7/1/2018,15:42:32,1,22902,Male,Web,Member,Auto & Accessories,Car Mat,54,5,0.1,10.8,1.1,Critical,credit_card
2/27/2018,12:07:22,1,31526,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,1,0.2,29.4,2.9,Critical,credit_card
4/28/2018,21:00:44,7,40170,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.2,137.1,13.7,Critical,money_order
8/1/2018,12:31:21,6,18701,Male,Web,Member,Auto & Accessories,Car Media Players,140,4,0.3,43.2,4.3,Medium,credit_card
11/22/2018,16:10:29,10,10773,Male,Web,Member,Auto & Accessories,Car Speakers,211,1,0.3,99.4,9.9,Critical,credit_card
7/6/2018,23:36:15,4,41607,Female,Web,Member,Auto & Accessories,Car Body Covers,117,5,0.3,7.8,0.8,Critical,credit_card
5/9/2018,18:27:00,2,26936,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,1,0.1,34.5,3.4,Medium,debit_card
4/26/2018,17:49:46,10,56518,Male,Web,Member,Auto & Accessories,Tyre,250,5,0.1,157.5,15.8,High,credit_card
10/27/2018,23:11:57,9,44722,Female,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.3,36,3.6,High,credit_card
6/23/2018,10:32:39,5,39332,Male,Web,Member,Auto & Accessories,Car Mat,54,4,0.2,13.5,1.4,High,credit_card
11/20/2018,18:24:30,7,39095,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,5,0.3,5.5,0.6,High,credit_card
6/30/2018,7:51:17,1,55428,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,4,0.2,132.5,13.3,Critical,credit_card
12/30/2018,14:20:46,1,16481,Male,Web,Guest,Auto & Accessories,Car Media Players,140,1,0.3,54.4,5.4,High,credit_card
12/7/2018,23:00:33,8,23129,Male,Web,Member,Auto & Accessories,Car Speakers,211,1,0.3,105.7,10.6,High,credit_card
5/8/2018,22:12:34,7,39272,Male,Web,Member,Auto & Accessories,Car Body Covers,117,5,0.1,31.2,3.1,Critical,credit_card
12/30/2018,14:46:00,8,54296,Male,Web,Guest,Auto & Accessories,Car & Bike Care,118,5,0.3,20.3,2,High,credit_card
4/24/2018,21:55:22,5,50254,Male,Web,Member,Auto & Accessories,Tyre,250,4,0.3,120,12,High,e_wallet
9/25/2018,22:18:10,6,42386,Male,Web,Member,Auto & Accessories,Bike Tyres,72,4,0.3,18,1.8,Critical,credit_card
7/16/2018,10:27:45,7,16296,Male,Web,Member,Auto & Accessories,Car Mat,54,1,0.1,54,5.4,High,money_order
4/21/2018,12:08:32,7,43547,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,1,0.2,27.2,2.7,High,credit_card
1/19/2018,15:08:48,10,58155,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.1,148.7,14.9,Critical,money_order
7/22/2018,15:19:05,9,46686,Male,Web,Member,Auto & Accessories,Car Media Players,140,1,0.1,58.6,5.9,High,credit_card
3/2/2018,14:28:03,1,39372,Male,Web,Guest,Auto & Accessories,Car Speakers,211,1,0.1,124.7,12.5,High,credit_card
12/26/2018,9:14:26,3,23926,Male,Web,Member,Auto & Accessories,Car Body Covers,117,5,0.3,13.6,1.4,High,credit_card
6/9/2018,6:37:43,3,59723,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,5,0.2,26.2,2.6,Medium,credit_card
8/6/2018,18:25:39,2,13656,Male,Web,Member,Auto & Accessories,Tyre,250,1,0.2,155,15.5,High,money_order
7/18/2018,13:39:54,3,47245,Male,Web,Member,Auto & Accessories,Bike Tyres,72,5,0.3,14.4,1.4,Critical,credit_card
12/28/2018,16:03:34,7,26200,Male,Web,Member,Auto & Accessories,Car Mat,54,1,0.2,54,5.4,High,credit_card
10/8/2018,12:19:58,9,34771,Male,Web,Guest,Auto & Accessories,Car Seat Covers,114,5,0.3,5.5,0.6,Critical,e_wallet
7/10/2018,12:23:05,4,30722,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.2,141.8,14.2,Critical,money_order
5/16/2018,16:10:21,6,46226,Male,Web,Member,Auto & Accessories,Car Media Players,140,1,0.3,55.8,5.6,High,credit_card
7/5/2018,18:40:47,10,31323,Male,Web,Member,Auto & Accessories,Car Speakers,211,4,0.2,114.1,11.4,Critical,credit_card
2/20/2018,17:12:34,6,57896,Male,Web,Member,Auto & Accessories,Car Body Covers,117,5,0.3,13.6,1.4,Critical,credit_card
8/21/2018,17:15:49,1,52183,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,5,0.3,14.4,1.4,Critical,credit_card
6/10/2018,14:18:40,3,16327,Male,Web,Member,Auto & Accessories,Tyre,250,4,0.3,120,12,Medium,e_wallet
9/26/2018,16:14:11,2,31345,Male,Web,Member,Auto & Accessories,Bike Tyres,72,5,0.3,14.4,1.4,Critical,credit_card
4/27/2018,19:24:52,2,17243,Female,Web,Member,Auto & Accessories,Car Mat,54,5,0.3,10.8,1.1,Medium,credit_card
5/11/2018,16:35:19,3,27820,Male,Web,Guest,Auto & Accessories,Car Seat Covers,114,4,0.3,11.2,1.1,Critical,money_order
5/25/2018,8:54:21,4,58874,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,139.5,13.9,Critical,credit_card
4/26/2018,9:32:06,7,28090,Male,Web,Member,Auto & Accessories,Car Media Players,140,5,0.1,53,5.3,Critical,money_order
4/17/2018,21:14:42,5,44331,Male,Web,Member,Auto & Accessories,Car Speakers,211,5,0.3,88.8,8.9,High,credit_card
7/23/2018,18:27:07,6,46006,Male,Web,Member,Auto & Accessories,Car Body Covers,117,1,0.2,34.7,3.5,Critical,credit_card
8/14/2018,13:05:17,3,22080,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,5,0.3,8.5,0.9,Medium,credit_card
9/30/2018,22:43:56,5,41793,Male,Web,Member,Auto & Accessories,Tyre,250,1,0.3,160,16,Critical,credit_card
5/15/2018,16:29:03,8,28996,Male,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.2,24,2.4,High,credit_card
7/22/2018,19:16:47,3,36277,Male,Web,Member,Auto & Accessories,Car Mat,54,4,0.3,13.5,1.4,High,credit_card
10/24/2018,19:01:52,2,45487,Male,Web,Guest,Auto & Accessories,Car Seat Covers,114,4,0.3,15.8,1.6,Critical,money_order
7/2/2018,12:54:20,10,13020,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,144.1,14.4,Critical,credit_card
12/6/2018,0:14:28,6,52525,Male,Web,Member,Auto & Accessories,Car Media Players,140,1,0.1,58.6,5.9,High,credit_card
1/4/2018,23:02:21,2,29479,Male,Web,Member,Auto & Accessories,Car Speakers,211,5,0.3,99.4,9.9,High,credit_card
3/21/2018,17:43:41,8,16029,Female,Web,Member,Auto & Accessories,Car Body Covers,117,4,0.1,32.3,3.2,Critical,money_order
8/2/2018,16:15:41,2,37402,Male,Web,Guest,Auto & Accessories,Car & Bike Care,118,1,0.3,32.1,3.2,Critical,money_order
10/1/2018,11:26:06,4,53794,Male,Web,Member,Auto & Accessories,Tyre,250,1,0.1,162.5,16.3,Medium,credit_card
11/9/2018,16:23:03,1,32178,Male,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.1,24,2.4,High,credit_card
4/15/2018,13:47:34,9,58607,Male,Web,Member,Auto & Accessories,Car Mat,54,5,0.3,10.8,1.1,Medium,credit_card
9/26/2018,11:59:05,9,20045,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,1,0.1,31.7,3.2,High,credit_card
7/15/2018,12:37:12,3,15311,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,4,0.3,123.3,12.3,Critical,credit_card
5/30/2018,22:33:08,6,48474,Male,Web,Member,Auto & Accessories,Car Media Players,140,1,0.3,55.8,5.6,Critical,credit_card
3/2/2018,14:08:33,1,20784,Male,Web,Member,Auto & Accessories,Car Speakers,211,1,0.2,122.6,12.3,Medium,money_order
12/29/2018,14:27:41,9,13649,Male,Web,Member,Auto & Accessories,Car Body Covers,117,4,0.2,27.6,2.8,Critical,e_wallet
10/25/2018,15:36:18,7,45439,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,1,0.1,36.8,3.7,Critical,credit_card
2/11/2018,7:54:38,1,34182,Male,Web,Member,Auto & Accessories,Tyre,250,5,0.2,145,14.5,Critical,e_wallet
9/15/2018,19:42:06,1,30880,Male,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.3,72,7.2,High,credit_card
6/13/2018,8:19:23,2,52427,Male,Web,Member,Auto & Accessories,Car Mat,54,5,0.3,10.8,1.1,Critical,money_order
9/4/2018,8:39:50,5,55136,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,1,0.3,24.9,2.5,High,credit_card
2/26/2018,12:32:39,1,47162,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,4,0.2,132.5,13.3,High,credit_card
8/28/2018,17:00:28,8,56059,Male,Web,Member,Auto & Accessories,Car Media Players,140,4,0.2,48.8,4.9,Critical,credit_card
9/22/2018,19:26:47,8,27239,Female,Web,Member,Auto & Accessories,Car Speakers,211,4,0.1,122.6,12.3,Medium,credit_card
2/13/2018,9:18:50,5,49838,Male,Web,Member,Auto & Accessories,Car Body Covers,117,5,0.3,19.5,1.9,High,credit_card
6/18/2018,9:30:54,1,48939,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,5,0.1,32.1,3.2,High,credit_card
12/14/2018,16:25:43,5,37902,Male,Web,Member,Auto & Accessories,Tyre,250,5,0.3,132.5,13.3,High,money_order
3/20/2018,12:30:40,10,31091,Male,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.3,36,3.6,Critical,money_order
3/4/2018,17:24:57,5,36695,Male,Web,Guest,Auto & Accessories,Car Mat,54,1,0.3,27,2.7,High,credit_card
11/3/2018,22:23:06,10,52162,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,1,0.3,27.2,2.7,Critical,money_order
12/29/2018,14:29:44,10,22796,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,139.5,13.9,High,credit_card
5/18/2018,20:59:24,6,20028,Male,Web,Member,Auto & Accessories,Car Media Players,140,5,0.3,25,2.5,High,credit_card
10/16/2018,0:22:49,2,38370,Female,Web,Member,Auto & Accessories,Car Speakers,211,1,0.2,126.8,12.7,High,e_wallet
7/5/2018,9:16:49,2,47033,Male,Web,Member,Auto & Accessories,Car Body Covers,117,5,0.3,13.6,1.4,Medium,e_wallet
7/27/2018,12:45:51,2,55217,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,4,0.3,23.8,2.4,Critical,credit_card
7/8/2018,14:12:08,3,24701,Male,Web,Member,Auto & Accessories,Tyre,250,4,0.3,120,12,Critical,credit_card
12/15/2018,16:59:11,8,17706,Male,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.1,24,2.4,Critical,money_order
10/25/2018,19:30:09,2,59762,Male,Web,Member,Auto & Accessories,Car Mat,54,5,0.2,10.8,1.1,High,credit_card
8/28/2018,21:27:43,1,43985,Male,Web,Guest,Auto & Accessories,Car Seat Covers,114,1,0.3,28.3,2.8,Critical,credit_card
9/16/2018,21:07:16,4,38808,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,5,0.2,127.9,12.8,Medium,credit_card
5/15/2018,19:55:51,7,56608,Male,Web,Member,Auto & Accessories,Car Media Players,140,1,0.1,55.8,5.6,Medium,credit_card
7/13/2018,15:45:51,2,56673,Male,Web,Member,Auto & Accessories,Car Speakers,211,4,0.3,105.7,10.6,High,money_order
11/1/2018,18:52:12,5,31345,Female,Web,Member,Auto & Accessories,Car Body Covers,117,1,0.2,32.3,3.2,Critical,credit_card
7/21/2018,12:49:32,6,25891,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,1,0.2,33.3,3.3,Critical,credit_card
12/9/2018,22:17:49,8,51017,Female,Web,Member,Auto & Accessories,Tyre,250,5,0.3,120,12,Medium,credit_card
3/9/2018,17:27:58,7,20674,Male,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.3,24,2.4,Medium,credit_card
11/1/2018,10:48:19,10,18692,Male,Web,Member,Auto & Accessories,Car Mat,54,1,0.3,54,5.4,Medium,credit_card
9/9/2018,13:56:45,2,14583,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,1,0.3,23.7,2.4,Medium,credit_card
8/10/2018,19:27:28,8,16602,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,130.2,13,Medium,credit_card
9/27/2018,11:08:59,7,25626,Male,Web,Member,Auto & Accessories,Car Media Players,140,1,0.1,58.6,5.9,Critical,credit_card
3/6/2018,15:26:09,2,32994,Male,Web,Member,Auto & Accessories,Car Speakers,211,1,0.2,118.3,11.8,Medium,credit_card
4/30/2018,22:37:50,4,58813,Male,Web,Member,Auto & Accessories,Car Body Covers,117,1,0.3,26.5,2.6,High,credit_card
10/5/2018,13:24:46,10,38300,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,4,0.1,33.3,3.3,Critical,money_order
2/12/2018,16:32:09,1,40978,Male,Web,Member,Auto & Accessories,Tyre,250,1,0.1,162.5,16.3,Critical,credit_card
7/22/2018,22:30:05,8,58697,Male,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.3,24,2.4,Medium,credit_card
